match_id,score_winner,score_loser,stage_class,score_str
39247,3,2,Qualifiers,3-2
39248,3,0,Qualifiers,3-0
39224,3,2,Qualifiers,3-2
39225,3,2,Qualifiers,3-2
39226,3,1,Qualifiers,3-1
39249,3,0,Qualifiers,3-0
39250,3,0,Qualifiers,3-0
39227,3,0,Qualifiers,3-0
39228,3,1,Qualifiers,3-1
39229,3,1,Qualifiers,3-1
39251,3,1,Qualifiers,3-1
39252,3,2,Qualifiers,3-2
39253,3,2,Qualifiers,3-2
39230,3,0,Qualifiers,3-0
39231,3,0,Qualifiers,3-0
39232,3,2,Qualifiers,3-2
39254,3,1,Qualifiers,3-1
39255,3,0,Qualifiers,3-0
39233,3,1,Qualifiers,3-1
39234,3,0,Qualifiers,3-0
39261,3,2,Tournament,3-2
39262,3,1,Tournament,3-1
39263,3,1,Tournament,3-1
39264,3,0,Tournament,3-0
39281,3,0,Tournament,3-0
39282,3,2,Tournament,3-2
39265,3,1,Tournament,3-1
39273,3,1,Tournament,3-1
39274,3,0,Tournament,3-0
39271,3,1,Tournament,3-1
39286,3,0,Tournament,3-0
39272,3,1,Tournament,3-1
39269,3,2,Tournament,3-2
39266,3,0,Tournament,3-0
39270,3,2,Tournament,3-2
39285,3,1,Tournament,3-1
39284,4,2,Tournament,4-2
39268,3,1,Tournament,3-1
39267,4,0,Tournament,4-0
39291,3,1,Qualifiers,3-1
39292,3,1,Qualifiers,3-1
39293,3,2,Qualifiers,3-2
39330,3,1,Qualifiers,3-1
39331,3,0,Qualifiers,3-0
39294,3,1,Qualifiers,3-1
39295,3,1,Qualifiers,3-1
39296,3,2,Qualifiers,3-2
39332,3,0,Qualifiers,3-0
39333,3,2,Qualifiers,3-2
39334,3,2,Qualifiers,3-2
39297,3,1,Qualifiers,3-1
39298,3,2,Qualifiers,3-2
39299,3,0,Qualifiers,3-0
39335,3,2,Qualifiers,3-2
39336,3,1,Qualifiers,3-1
39300,3,0,Qualifiers,3-0
39301,3,0,Qualifiers,3-0
39302,3,1,Qualifiers,3-1
39303,3,0,Qualifiers,3-0
39337,3,1,Qualifiers,3-1
39338,3,1,Qualifiers,3-1
39304,3,0,Qualifiers,3-0
39305,3,0,Qualifiers,3-0
39306,3,1,Qualifiers,3-1
39339,3,2,Qualifiers,3-2
39340,3,2,Qualifiers,3-2
39341,3,0,Qualifiers,3-0
39307,3,0,Qualifiers,3-0
39308,3,1,Qualifiers,3-1
39309,3,2,Qualifiers,3-2
39342,3,2,Qualifiers,3-2
39343,3,2,Qualifiers,3-2
39310,3,2,Qualifiers,3-2
39311,3,0,Qualifiers,3-0
39312,3,1,Qualifiers,3-1
39344,3,2,Qualifiers,3-2
39345,3,1,Qualifiers,3-1
39315,3,0,Qualifiers,3-0
39314,3,2,Qualifiers,3-2
39313,3,2,Qualifiers,3-2
39346,3,0,Qualifiers,3-0
39347,3,0,Qualifiers,3-0
39348,3,1,Qualifiers,3-1
39316,3,2,Qualifiers,3-2
39317,3,1,Qualifiers,3-1
39318,3,1,Qualifiers,3-1
39349,3,0,Qualifiers,3-0
39350,3,2,Qualifiers,3-2
39319,3,2,Qualifiers,3-2
39320,3,1,Qualifiers,3-1
39321,3,1,Qualifiers,3-1
39322,3,0,Qualifiers,3-0
39323,3,0,Qualifiers,3-0
39324,3,0,Qualifiers,3-0
39391,3,2,Postseason,3-2
39392,3,0,Postseason,3-0
39325,3,2,Qualifiers,3-2
39326,3,1,Qualifiers,3-1
39327,3,1,Qualifiers,3-1
39328,3,1,Qualifiers,3-1
39329,3,1,Qualifiers,3-1
